ID	Long93_Cor	Lat93_Cor	D_Canop_M
A_44_Qs	417135,952	6416246,632	11,1
A_42_Qs	417129,280	6416241,751	7,65
A_41_Ns	417124,780	6416235,020	10,5
A_44_Ks	417137,719	6416230,070	6,45
A_45_Ds	417148,491	6416212,316	10,9
A_41_Ds	417141,175	6416209,712	7,2
A_45_E	417155,500	6416187,818	11,2
A_42_J	417151,143	6416151,102	12,95
Port_3_M	417188,629	6416054,005	6,55
Port_3_O	417191,277	6416049,549	6,45
Port_2_V	417190,421	6416041,137	7,65
Port_2_X	417190,550	6416035,274	7,15
Port_3_U	417201,584	6416032,354	4,4
Port_3_CC	417207,360	6416019,577	8,5
A_55_S1	417211,347	6416156,934	10,7
A_55_S2	417214,094	6416158,144	10,6
A_59_C	417216,098	6416209,148	7,25
A_64_Cs	417235,675	6416228,992	6,1
A_65_Fs	417236,830	6416240,503	7,85
A_62_Gs	417223,110	6416240,013	3,95
A_62_Js	417219,315	6416250,637	8,45
A_62_Ms	417218,308	6416256,353	7
A_65_Hs	417232,791	6416252,001	3,2
A_68_Ks	417247,733	6416257,465	7,05
A_73_Fs	417270,680	6416251,077	8,15
A_71_Rs	417254,623	6416281,948	8,3
A_66_Qs	417232,836	6416273,620	9,4
A_60_Qs	417205,249	6416266,815	6,65
A_58_Os	417197,790	6416258,924	11,85
Vigne_1	417320,554	6416793,348	9,5
Vigne_2	417319,080	6416797,566	7,35
E_82_K	417328,763	6416637,972	3,85
E_82_M	417331,638	6416629,610	4,5
E_82_O	417333,122	6416623,496	6,95
E_82_Q	417334,990	6416615,183	5,95
E_82_S	417336,605	6416608,095	3,85
E_81_R	417329,846	6416608,252	5,45
E_81_N	417325,534	6416623,745	9,7
E_80_Q	417321,138	6416611,986	2,05
E_80_O	417319,495	6416619,889	5,25
E_80_M	417317,518	6416627,062	6,3
E_80_G	417311,583	6416650,969	4,2
E_80_E	417309,339	6416657,723	3,25
E_80_A	417305,537	6416673,950	4,7
E_79_H	417305,463	6416645,595	3,65
E_79_L	417309,305	6416630,331	2,1
E_79_N	417310,988	6416622,102	3,2
E_78_O	417305,682	6416616,618	4,25
E_78_K	417302,097	6416632,289	4,7
E_78_E	417294,906	6416655,772	5,05
E_77_D	417287,372	6416656,940	4,05
E_77_L	417295,075	6416625,193	2,2
E_77_N	417297,524	6416618,579	5,45
E_77_R	417301,576	6416604,567	5,15
E_76_S	417297,094	6416596,465	3,8
